Highest Layer,Transport Layer,Source IP,Dest IP,Source Port,Dest Port,Packet Length,Packets/Time,target
TLS,TCP,1,192.168.1.2,443,58119,1514,45.6704643245058,1
TCP,TCP,0,23.220.203.49,58119,443,54,45.7734402126497,0
TLS,TCP,1,192.168.1.2,443,58119,1514,45.82738078506372,1
TLS,TCP,1,192.168.1.2,443,58119,1514,45.86893560800154,1
TLS,TCP,1,192.168.1.2,443,58119,1514,45.93470622969012,1
TCP,TCP,0,23.220.203.49,58119,443,54,46.03079769319656,0
TLS,TCP,1,192.168.1.2,443,58119,1514,46.09618434610852,1
TLS,TCP,1,192.168.1.2,443,58119,1514,46.14917207247195,1
TLS,TCP,1,192.168.1.2,443,58119,1514,46.20807721222723,1
TLS,TCP,1,192.168.1.2,443,58119,1514,46.27899847667918,1
TCP,TCP,0,23.220.203.49,58119,443,54,46.3802693570581,0
TLS,TCP,1,192.168.1.2,443,58119,1514,46.438600409644984,1
TLS,TCP,1,192.168.1.2,443,58119,1514,46.4418458660452,1
TLS,TCP,1,192.168.1.2,443,58119,1514,46.499829425228604,1
TLS,TCP,1,192.168.1.2,443,58119,1514,46.38775579057769,1
TCP,TCP,0,23.220.203.49,58119,443,54,46.493824262456826,0
TLS,TCP,1,192.168.1.2,443,58119,1514,46.59371630606329,1
TLS,TCP,1,192.168.1.2,443,58119,1514,46.69347841551512,1
TLS,TCP,1,192.168.1.2,443,58119,1514,46.77487120216374,1
TLS,TCP,1,192.168.1.2,443,58119,1514,45.57244738311672,1
TCP,TCP,0,23.220.203.49,58119,443,54,45.66409619204725,0
TLS,TCP,1,192.168.1.2,443,58119,1514,45.73254858247881,1
TLS,TCP,1,192.168.1.2,443,58119,1514,45.78930515230309,1
TLS,TCP,1,192.168.1.2,443,58119,119,45.84588924714348,1
TCP,TCP,0,23.220.203.49,58119,443,54,45.948407912925,0
TCP,TCP,0,65.49.14.175,58120,37979,66,46.03926781479486,0
TCP,TCP,1,192.168.1.2,37979,58120,60,46.14156093743872,1
TCP,TCP,0,65.49.14.175,58120,37979,54,46.2495485381919,0
BITTORRENT,TCP,0,65.49.14.175,58120,37979,122,46.34583826899441,0
TCP,TCP,1,192.168.1.2,37979,58120,60,46.447824167657984,1
